Id_produit;Nom produit;Reference;Categorie principale ;Categorie;EAN;Supplier_reference;Fournisseur;Marque;Prix ;Quantite;VALEUR STOCK 
24989;TWO NOTES - TORPEDO CAPTOR 4;TORPEDO CAPTOR 4;Amplificateurs Guitares Electriques;Atténuateurs de puissance;3663600000000;TNTCA4;Filling Distribution;Two notes;239,00;1;239,00
54001;PEAVEY - ENVOY 110 - Amplificateur combo ENVOY 110 série TransTube;ENVOY 110;Amplificateurs Basses Electriques;Combos Basses;14367156751;621062;Adagio;Peavey;216,33;1;216,33
24125;TECH 21 - SANSAMP BASS DRIVER DI V2;SANSAMP BASS DRIVER DI V2;Amplificateurs Basses Electriques;Préamplificateurs Basses;837088000000;2150265T12004;Mogar;Tech 21;213,00;1;213,00
35419;ELIXIR - 14052 - Set de 4 cordes basse;14052;Cordes Guitares & Basses;Cordes Basses Electriques;733132000000;CEL 14052;Algam - Camac;Elixir;35,00;6;210,00
35507;ELIXIR - 16005 BULK 25 EXTRA LIGHT 10-47;16005;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;;CEL 16005;Algam - Camac;Elixir;208,70;1;208,70
23445;MARKBASS - MB4VGSS50110LS;MB4VGSS50110LS;Cordes Guitares & Basses;Cordes Basses Electriques;;4570425849002 *OLD*;Mogar;Markbass;48,25;4;193,00
51618;MUSICNOMAD - MN290;MN290;Accessoires Guitares & Basses;Outils et Entretien;857047000000;MNO-MN290;HTD - High Tech Distribution;MusicNomad;184,08;1;184,08
35543;ELIXIR - 19027 ELEC OPTIWEB CL 09-46;19027;Cordes Guitares & Basses;Cordes Guitares Electriques;733132000000;CEL 19027;Algam - Camac;Elixir;10,75;17;182,75
52059;HOTONE - MP 80 AMPERO ONE;MP 80 AMP ONE;Amplificateurs Guitares Electriques;Pédales Amp & Préamplificateurs Guitares Electriques;6959470000000;HO-0016;WOOD4MUSIC;Hotone;177,87;1;177,87
31148;IBANEZ - PTPRE PENTATONE PREAMP - Pédale d'effet pour guitare électrique;PTPRE PENTATONE PREAMP;Amplificateurs Guitares Electriques;Pédales Amp & Préamplificateurs Guitares Electriques;4549760000000;PTPRE;Hoshino;Ibanez;176,79;1;176,79
37945;CORT - AF30 - Ampli guitare acoustique;CORT AF30;Amplificateurs Guitares Acoustiques;Combos Guitares Acoustiques;8809380000000;AF30;Saico - Ti;Cort;175,47;1;175,47
35420;ELIXIR - 14077 - Set de 4 cordes basse;14077;Cordes Guitares & Basses;Cordes Basses Electriques;733132000000;CEL 14077;Algam - Camac;Elixir;35,00;5;175,00
31154;IBANEZ - T30II TROUBADOUR - Amplificateur combo pour guitare acoustique;T30II TROUBADOUR;Amplificateurs Guitares Acoustiques;Combos Guitares Acoustiques;4549760000000;T30IIU;Hoshino;Ibanez;169,69;1;169,69
13091;ERNIE BALL - 2831 - POWER SLINKY NICKEL WOUND 55-110 - Cordes de Basse Électrique - Jeu de 4;CEB 2831;Cordes Guitares & Basses;Cordes Basses Electriques;749699000000;CEB 2831;Algam - Gaffarel;Ernie Ball;16,75;10;167,50
54346;BLACKSTAR - ID:CORE 40 V4 - Amplificateur programmable avec effets de studio et diffusion stéréo;IDC 40 V4;Amplificateurs Guitares Electriques;Combos Guitares Electriques;;703311;Adagio;Blackstar;160,54;1;160,54
26176;EMINENCE - BASSLITE-SC10-16;BASSLITE-SC10-16;Amplificateurs Guitares & Basses;Haut-parleurs;876358000000;EMIBASSLITESC1016;MSC Distribution - Major Audio;Eminence;154,40;1;154,40
14320;VOX - ADIO AIR GT;ADIO AIR GT;Amplificateurs Guitares Electriques;Combos Guitares Electriques;4959110000000;MVO ADIO-AIR-GT;Algam - Camac;Vox;151,56;1;151,56
22058;ORANGE - MICRO TERROR;MICRO TERROR;Amplificateurs Guitares Electriques;Têtes d'Amplis Guitares Electriques;5060120000000;ORA-MT;HTD - High Tech Distribution;Orange;140,83;1;140,83
12877;ERNIE BALL - 2012 - EARTHWOOD MEDIUM 11-28 - Cordes de Guitare Acoustique - Jeu de 6;CEB 2012;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2012;Algam - Gaffarel;Ernie Ball;8,80;16;140,80
42261;MARK STRINGS - SIGNATURE GOUCHE 040-120 STAIN - Jeu 5 cordes basse;SIGNATURE GOUCHE 040-120 STAIN;Cordes Guitares & Basses;Cordes Basses Electriques;8059310000000;;Mogar;Mark Strings;34,97;4;139,88
52074;HOTONE - MP 50PT AMPERO MINI PURPLE TARO;MP 50PT AMP MINI PURP TA;Amplificateurs Guitares Electriques;Pédales Amp & Préamplificateurs Guitares Electriques;6959470000000;HO-0048;WOOD4MUSIC;Hotone;138,78;1;138,78
52075;HOTONE - MP 50MC AMPERO MINI MATCHA;MP 50MC AMP MINI MAT;Amplificateurs Guitares Electriques;Pédales Amp & Préamplificateurs Guitares Electriques;6959470000000;HO-0049;WOOD4MUSIC;Hotone;138,78;1;138,78
42243;MARK STRINGS - GROOVE 045-130 NICKEL PLATED STEEL - Jeu 5 cordes basse;GROOVE 045-130 NICKEL PLATED S;Cordes Guitares & Basses;Cordes Basses Electriques;8033830000000;;Mogar;Mark Strings;27,63;5;138,15
35514;ELIXIR - 16077 PHOS.BRONZE. ML 12-56;16077;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;733132000000;CEL 16077;Algam - Camac;Elixir;13,45;10;134,50
25865;VOX - MINI GO 3;MINI GO 3;Amplificateurs Guitares Electriques;Combos Guitares Electriques;4959110000000;MVO VMG-3;Algam - Camac;Vox;131,90;1;131,90
55529;GRAVITY - FG SEAT 1 - Tabouret de musicien avec support pour guitare;FG SEAT 1;Accessoires Guitares & Basses;Accessoires Divers Guitares & Basses;4049520000000;GFGSEAT1;Adam Hall;Gravity;62,86;2;125,72
7311;BLACKSTAR - HT-1R;HT-1R;Amplificateurs Guitares Electriques;Combos Guitares Electriques;84564400548;HT1R;Adagio;Blackstar;125,48;1;125,48
29222;CHERUB - WST 905LI - Accordeur avec pince acier robuste;WST 905LI;Accessoires Guitares & Basses;Accordeurs;6936260000000;ECH WST-905LI;Algam - Audia;Cherub;13,28;9;119,52
22114;ORANGE - CRUSH 12 Black;CRUSH 12 Black;Amplificateurs Guitares Electriques;Combos Guitares Electriques;5060300000000;ORA-CR12BK;HTD - High Tech Distribution;Orange;115,83;1;115,83
